transaction_id,transaction_date,year,quarter,month,month_name,customer_id,branch,customer_segment,product_category,product_name,membership_plan,sales_channel,payment_method,campaign,quantity,unit_price_gbp,discount_pct,gross_revenue_gbp,discount_amount_gbp,net_revenue_gbp,estimated_cost_gbp,profit_gbp,is_recurring_payment
TXN-F3235C52A28A48A185949CD793E299DB,2015-01-01,2015,Q1,1,January,CUST-90661E50DA1949E883FF51730EBE4645,Northside,Young Professional,Membership,Monthly Premium Membership,Premium Monthly,Telephone,Direct Debit,New Year Campaign,1,62.91,0.15,62.91,9.44,53.47,21.7,31.77,True
TXN-52391BA1090C48AB9F29DC3C0E449395,2015-01-05,2015,Q1,1,January,CUST-F2334A385FCA416B8304C85EAD8E5158,City Centre,Young Professional,Membership,Annual Basic Membership,Basic Annual,Website,Digital Wallet,New Year Campaign,1,467.93,0.1,467.93,46.79,421.14,112.45,308.69,False
TXN-D0E53FAD36B5420787316742F6F9212A,2015-01-05,2015,Q1,1,January,CUST-88376DD7B3BE47F3AE74619E56DDD1A1,Northside,Corporate,Personal Training,Single Personal Training Session,Not Applicable,Front Desk,Cash,New Year Campaign,2,40.26,0.1,80.52,8.05,72.47,35.59,36.88,False
TXN-D20D20168994462586AEF68A7DFC9A09,2015-01-05,2015,Q1,1,January,CUST-954BB94F12DD437B9450FF27D7489FB1,City Centre,Young Professional,Personal Training,10-Session Personal Training Package,Not Applicable,Front Desk,Cash,Referral Programme,1,376.95,0.05,376.95,18.85,358.1,149.63,208.47,False
TXN-24FC3DAAA4F744E49AC2637388F8BB68,2015-01-06,2015,Q1,1,January,CUST-D18AD4C651504BC894FBA07C7490CDF0,City Centre,Family,Membership,Monthly Premium Membership,Premium Monthly,Front Desk,Direct Debit,New Year Campaign,1,67.14,0.15,67.14,10.07,57.07,23.33,33.74,True
TXN-471EB55E330B4272A1CB477576F07D7D,2015-01-07,2015,Q1,1,January,CUST-C5EEBDA4575C47DA8C0ACBA0D13D8FD6,Riverside,Young Professional,Membership,Monthly Basic Membership,Basic Monthly,Front Desk,Direct Debit,No Campaign,1,44.39,0.0,44.39,0.0,44.39,14.46,29.93,True
TXN-63A77CA35CE14305BF54D3CF62303E1D,2015-01-07,2015,Q1,1,January,CUST-221F3F53503B489BA61161F4A94423B6,City Centre,Family,Personal Training,10-Session Personal Training Package,Not Applicable,Telephone,Card,New Year Campaign,1,376.18,0.15,376.18,56.43,319.75,150.93,168.82,False
TXN-A3A2A29280254231A00AF8F59E8850A7,2015-01-07,2015,Q1,1,January,CUST-F5E9B0032E504A55A3DDA10EC9E2A387,Riverside,Young Professional,Membership,Monthly Basic Membership,Basic Monthly,Website,Direct Debit,New Year Campaign,1,45.42,0.1,45.42,4.54,40.88,14.61,26.27,True
TXN-DE43A407A3634F1F83C7299DFAB03855,2015-01-07,2015,Q1,1,January,CUST-D1CFD5BF8AB94A869065BF2A0E6E7F5D,City Centre,Young Professional,Membership,Monthly Basic Membership,Basic Monthly,Front Desk,Digital Wallet,New Year Campaign,1,45.56,0.1,45.56,4.56,41.0,14.64,26.36,True
TXN-29DB69D7BD8C4060BCE17A567DA9EC65,2015-01-08,2015,Q1,1,January,CUST-A0A1903D975F4758B2EDDE9DF7BECDC7,City Centre,Family,Personal Training,Single Personal Training Session,Not Applicable,Front Desk,Cash,New Year Campaign,2,43.78,0.1,87.56,8.76,78.8,38.93,39.87,False
TXN-346BDA0F8E0841F794A56E512F67A6C2,2015-01-08,2015,Q1,1,January,CUST-329728555ED64E5C97029B5D96B1F772,City Centre,Young Professional,Group Class,Spin Class,Not Applicable,Front Desk,Cash,New Year Campaign,1,14.65,0.15,14.65,2.2,12.45,10.0,2.45,False
TXN-594D74DDF9B9452EBD098BC6F1711A37,2015-01-08,2015,Q1,1,January,CUST-9E95F1E9B70E447A88019D006D95311E,City Centre,Young Professional,Membership,Corporate Membership,Corporate Annual,Corporate Partner,Bank Transfer,New Year Campaign,1,495.35,0.15,495.35,74.3,421.05,127.31,293.74,True
TXN-9662754AD7764AFEB2B9F25EF7CBAE37,2015-01-08,2015,Q1,1,January,CUST-6D264996A201481182B21E178C41EEE1,Northside,Young Professional,Group Class,HIIT Class,Not Applicable,Website,Card,Referral Programme,2,14.72,0.08,29.44,2.36,27.08,14.43,12.65,False
TXN-666B45DC8DD341039CEDDA9A671154D9,2015-01-09,2015,Q1,1,January,CUST-6155FA61E23B4FFFADF913663A359B3D,City Centre,General,Personal Training,Single Personal Training Session,Not Applicable,Corporate Partner,Cash,New Year Campaign,2,43.21,0.2,86.42,17.28,69.14,39.34,29.8,False
TXN-72D50DF93994453C93BABB696AE1125D,2015-01-09,2015,Q1,1,January,CUST-E6F5A94DD90F4109A46BD6A2104E2943,City Centre,Student,Membership,Student Membership,Student Monthly,Corporate Partner,Card,Referral Programme,1,32.38,0.05,32.38,1.62,30.76,11.3,19.46,False
TXN-7C1FA8D42B514EC2974217693FF6E99E,2015-01-09,2015,Q1,1,January,CUST-F9D236A238B8417A9E5D26AD569A7308,Northside,Senior,Personal Training,Single Personal Training Session,Not Applicable,Website,Card,Referral Programme,1,40.24,0.1,40.24,4.02,36.22,20.75,15.47,False
TXN-AC9D78EB44A04630BEA5094B171D1C15,2015-01-09,2015,Q1,1,January,CUST-E85948C04A28481480D70ABFB904E07E,City Centre,Young Professional,Membership,Monthly Basic Membership,Basic Monthly,Front Desk,Direct Debit,New Year Campaign,1,46.97,0.15,46.97,7.05,39.92,15.51,24.41,True
TXN-7062D5255DA74542BADADA9E6045ED48,2015-01-10,2015,Q1,1,January,CUST-9F8596A77EAE4E5E97E67D439C6279AF,Riverside,Student,Personal Training,Single Personal Training Session,Not Applicable,Front Desk,Cash,New Year Campaign,2,42.74,0.1,85.48,8.55,76.93,38.45,38.48,False
TXN-701CD230C5C94010893ECC5F958A06B0,2015-01-12,2015,Q1,1,January,CUST-D8EA0AD134AA4E93BDA0509AE79A3E0C,City Centre,Corporate,Membership,Monthly Basic Membership,Basic Monthly,Website,Direct Debit,New Year Campaign,1,46.02,0.1,46.02,4.6,41.42,14.6,26.82,True
TXN-27F5E52288BF49DE8A3A256F9B199AF4,2015-01-13,2015,Q1,1,January,CUST-6F6B54CD3A074291BFA00AB851A21047,City Centre,General,Supplement,Energy Drink,Not Applicable,Telephone,Bank Transfer,New Year Campaign,1,3.55,0.2,3.55,0.71,2.84,2.73,0.11,False
