transaction_id,transaction_date,year,quarter,month,month_name,customer_id,branch,customer_segment,product_category,product_name,membership_plan,sales_channel,payment_method,campaign,quantity,unit_price_gbp,discount_pct,gross_revenue_gbp,discount_amount_gbp,net_revenue_gbp,estimated_cost_gbp,profit_gbp,is_recurring_payment
TXN-89D9C2BA27224B7882EA43BE41FE747C,2015-01-01,2015,Q1,1,January,CUST-01A576B91D7F47548DFCFCA81F82D9D2,Northside,Family,Merchandise,Gym T-Shirt,Not Applicable,Front Desk,Card,No Campaign,1,21.36,0.0,21.36,0.0,21.36,15.66,5.7,False
TXN-E40AADD6A9F549D69472205B3AE58FD6,2015-01-01,2015,Q1,1,January,CUST-CB221FED8AB4480DAB79C832A6E01B74,Northside,Corporate,Membership,Corporate Membership,Corporate Annual,Corporate Partner,Bank Transfer,New Year Campaign,1,474.83,0.15,474.83,71.22,403.61,115.18,288.43,True
TXN-0174D73F878C40ECA67FC2A1D0BE108F,2015-01-02,2015,Q1,1,January,CUST-B36AA8FA1D98470CBAAF58C6192B13E8,Riverside,Senior,Group Class,Yoga Class,Not Applicable,Telephone,Card,New Year Campaign,1,12.03,0.1,12.03,1.2,10.83,8.57,2.26,False
TXN-5BC5BBE5670B49FD8435EBA70C6C9D34,2015-01-02,2015,Q1,1,January,CUST-68578CD1421F40E0B248F5C7FDEF02EB,City Centre,Family,Membership,Monthly Premium Membership,Premium Monthly,Front Desk,Direct Debit,New Year Campaign,1,68.03,0.15,68.03,10.2,57.83,23.28,34.55,True
TXN-D9544727D70E413F99A679925AD1A777,2015-01-02,2015,Q1,1,January,CUST-220EB220B7204704B29D3CECA1CB414B,City Centre,Family,Group Class,HIIT Class,Not Applicable,Telephone,Cash,New Year Campaign,3,15.26,0.2,45.78,9.16,36.62,21.71,14.91,False
TXN-8D1CCCF1E68A493BA120DE388482D0A4,2015-01-03,2015,Q1,1,January,CUST-BFE0CAB5C060422C85C37B4FACB1B9E5,City Centre,Family,Personal Training,Single Personal Training Session,Not Applicable,Front Desk,Cash,New Year Campaign,1,43.23,0.1,43.23,4.32,38.91,21.46,17.45,False
TXN-DC79164B3F5C4CC796C3A013DF4E5A19,2015-01-03,2015,Q1,1,January,CUST-07FD4F3200034E799F290951320D4B15,City Centre,Young Professional,Group Class,Spin Class,Not Applicable,Website,Card,Referral Programme,2,14.32,0.1,28.64,2.86,25.78,15.04,10.74,False
TXN-071C70D34087476FB4D8A2A89F0872DD,2015-01-05,2015,Q1,1,January,CUST-98D2EEF18258457AA66541AE10233D59,City Centre,General,Supplement,Energy Drink,Not Applicable,Telephone,Card,No Campaign,1,3.55,0.0,3.55,0.0,3.55,3.41,0.14,False
TXN-318E1197F669430586EA0A4B82DEDB23,2015-01-05,2015,Q1,1,January,CUST-022F0A22FE9446D291CB03745A6AC085,Riverside,General,Membership,Monthly Basic Membership,Basic Monthly,Front Desk,Card,New Year Campaign,1,44.1,0.1,44.1,4.41,39.69,14.09,25.6,False
TXN-EE6E4CB3BCE14E2DA6EEE83D851D63A6,2015-01-05,2015,Q1,1,January,CUST-EBDA5D79F9304420A523652D203EBF67,Riverside,Student,Group Class,Spin Class,Not Applicable,Front Desk,Cash,New Year Campaign,1,14.1,0.15,14.1,2.11,11.99,9.53,2.46,False
TXN-2FC487A5FE9F4BA5885F57BEC64F22BF,2015-01-06,2015,Q1,1,January,CUST-FE8A6CC3A4C040889DC09EA005B6C9A3,City Centre,Senior,Merchandise,Gym T-Shirt,Not Applicable,Front Desk,Cash,New Year Campaign,1,22.49,0.1,22.49,2.25,20.24,17.33,2.91,False
TXN-C52387D7CC65401D8A3E0CEC9821E101,2015-01-06,2015,Q1,1,January,CUST-6560190243EE4B7EA214F7E07E6B5E77,Northside,Student,Membership,Monthly Basic Membership,Basic Monthly,Front Desk,Cash,New Year Campaign,1,43.26,0.15,43.26,6.49,36.77,13.91,22.86,True
TXN-674963C084ED4C3DA8BD425222E37C32,2015-01-07,2015,Q1,1,January,CUST-D84577B835A64E729EB65853C657065B,City Centre,Student,Merchandise,Gym Bag,Not Applicable,Front Desk,Cash,New Year Campaign,1,29.41,0.1,29.41,2.94,26.47,21.69,4.78,False
TXN-693ACF07F36D4F5DB180DB9082DB522E,2015-01-07,2015,Q1,1,January,CUST-450AF038E72A489DA1426615116BDEE9,City Centre,General,Joining Fee,Joining Fee,Not Applicable,Website,Direct Debit,New Year Campaign,1,30.68,0.1,30.68,3.07,27.61,7.87,19.74,False
TXN-9A27DC72656C4E5289224C39BADBEFF2,2015-01-07,2015,Q1,1,January,CUST-4CF6DE3DDAC74988A8A61586176DC652,Riverside,Student,Membership,Monthly Basic Membership,Basic Monthly,Website,Direct Debit,No Campaign,1,45.59,0.03,45.59,1.37,44.22,14.22,30.0,True
TXN-9AC7AEC5B44F4896BE4143BB735DD69D,2015-01-08,2015,Q1,1,January,CUST-CB63998F693A404FA4D96CCEDAF072B8,Riverside,Corporate,Supplement,Protein Powder,Not Applicable,Corporate Partner,Card,No Campaign,1,32.07,0.0,32.07,0.0,32.07,24.44,7.63,False
TXN-53C871A04AE24436A20AF67013E31002,2015-01-10,2015,Q1,1,January,CUST-5B43387A9A28441A9D5E7379EE83CBE5,Riverside,Young Professional,Membership,Monthly Basic Membership,Basic Monthly,Front Desk,Card,New Year Campaign,1,45.68,0.15,45.68,6.85,38.83,14.69,24.14,True
TXN-67653C28B1D344BF80FCABB7C3ADEEBE,2015-01-11,2015,Q1,1,January,CUST-C8D5D966C3624F80ACC9EB7E7B195CB3,Riverside,General,Membership,Annual Basic Membership,Basic Annual,Telephone,Card,New Year Campaign,1,442.38,0.15,442.38,66.36,376.02,108.54,267.48,False
TXN-CE0084F5B71246759D11B26F53BC47A4,2015-01-11,2015,Q1,1,January,CUST-A15C3A01CE9C4582B6CCF74F58093B94,Northside,Senior,Supplement,Energy Drink,Not Applicable,Mobile App,Card,New Year Campaign,1,3.33,0.15,3.33,0.5,2.83,2.72,0.11,False
TXN-4090D6C5CD16420B9D4360DF959312C2,2015-01-12,2015,Q1,1,January,CUST-5262106B3E854250A4F9DF08505CA2D8,City Centre,Young Professional,Membership,Monthly Basic Membership,Basic Monthly,Corporate Partner,Card,New Year Campaign,1,47.03,0.2,47.03,9.41,37.62,15.5,22.12,False
TXN-51C299644E324274AC2F221E1DAD376A,2015-01-12,2015,Q1,1,January,CUST-91444D9A9D594EB0BD6D313F555C3F69,Northside,Student,Membership,Student Membership,Student Monthly,Front Desk,Direct Debit,New Year Campaign,1,31.37,0.1,31.37,3.14,28.23,10.26,17.97,True
TXN-664A8C58F1EA4BA0ACEE9C360468E506,2015-01-12,2015,Q1,1,January,CUST-C32A97C317CF413D96F0B044ECC8C374,Northside,Young Professional,Merchandise,Gym T-Shirt,Not Applicable,Telephone,Direct Debit,New Year Campaign,1,21.28,0.15,21.28,3.19,18.09,16.22,1.87,False
TXN-843B313D597A4C2DBEEADB8C3B9F5C9F,2015-01-12,2015,Q1,1,January,CUST-91444D9A9D594EB0BD6D313F555C3F69,City Centre,Student,Personal Training,Single Personal Training Session,Not Applicable,Front Desk,Card,Referral Programme,1,42.58,0.08,42.58,3.41,39.17,21.8,17.37,False
TXN-9A14AEBA222B47F4AB810D8452FB4730,2015-01-12,2015,Q1,1,January,CUST-A84321252D814A25B21D515255EE4714,Northside,Family,Membership,Monthly Basic Membership,Basic Monthly,Telephone,Direct Debit,No Campaign,1,43.44,0.03,43.44,1.3,42.14,14.15,27.99,False
TXN-E600767713684C88908130AAF68C3CF1,2015-01-12,2015,Q1,1,January,CUST-517898CC808C4D468F3111793C89EC69,City Centre,General,Membership,Monthly Basic Membership,Basic Monthly,Corporate Partner,Direct Debit,Referral Programme,1,46.57,0.05,46.57,2.33,44.24,15.11,29.13,False
TXN-E80AC8E5D5264449A1B07D1E755A8D50,2015-01-13,2015,Q1,1,January,CUST-3282F5AC92954A61AF65AFC6BA33C406,City Centre,Family,Supplement,Protein Powder,Not Applicable,Front Desk,Cash,New Year Campaign,1,32.86,0.15,32.86,4.93,27.93,24.42,3.51,False
TXN-6A5E219D4AC14D119ADFDD248A92C226,2015-01-14,2015,Q1,1,January,CUST-8E323ADEEDA54310BFB50A6594A7A116,Northside,Senior,Personal Training,10-Session Personal Training Package,Not Applicable,Front Desk,Card,New Year Campaign,1,346.54,0.15,346.54,51.98,294.56,138.44,156.12,False
TXN-8742DDD4FA814B2888E6EC2CED89AE86,2015-01-14,2015,Q1,1,January,CUST-8AB63A8B908A4BDD855C183C131382D9,City Centre,Student,Personal Training,Single Personal Training Session,Not Applicable,Front Desk,Cash,New Year Campaign,1,43.34,0.15,43.34,6.5,36.84,21.58,15.26,False
TXN-A4895EC3E96946198854FECD81515878,2015-01-14,2015,Q1,1,January,CUST-E1D5298044C14E599B09A51707680D62,City Centre,Corporate,Membership,Corporate Membership,Corporate Annual,Corporate Partner,,New Year Campaign,1,502.84,0.15,502.84,75.43,427.41,128.31,299.1,True
TXN-15DCA4E57A9145AEB781450134169114,2015-01-15,2015,Q1,1,January,CUST-530F4902C5044376A7FFF7DD107BF9AF,Northside,Student,Membership,Annual Basic Membership,Basic Annual,Telephone,Digital Wallet,No Campaign,1,433.75,0.05,433.75,21.69,412.06,102.49,309.57,False
TXN-7CE6EF472CB443BB98EC696161543B60,2015-01-15,2015,Q1,1,January,CUST-FB7F7AB4F06B482F90BB0B3DD7838316,Riverside,General,Group Class,HIIT Class,Not Applicable,Mobile App,Card,New Year Campaign,1,14.76,0.2,14.76,2.95,11.81,9.63,2.18,False
TXN-DF80D35FF4A743C890DBB783276DAFE9,2015-01-15,2015,Q1,1,January,CUST-070E5902BDB3441EBA435101C332EE41,City Centre,Family,Supplement,Energy Drink,Not Applicable,Front Desk,Cash,New Year Campaign,1,3.54,0.1,3.54,0.35,3.19,3.06,0.13,False
TXN-FB58411959224AC29745C0C7C65F21FC,2015-01-15,2015,Q1,1,January,CUST-D158E1E300F84911B2DCC943E19B04B4,Riverside,Student,Membership,Student Membership,Student Monthly,Front Desk,Direct Debit,New Year Campaign,1,31.84,0.2,31.84,6.37,25.47,10.88,14.59,True
TXN-645DE93B669245E98AE78223532ECB90,2015-01-16,2015,Q1,1,January,CUST-52DA9DA6A0934AC59E4BF19CD081A15D,City Centre,Young Professional,Membership,Monthly Basic Membership,Basic Monthly,Telephone,Direct Debit,New Year Campaign,1,45.69,0.15,45.69,6.85,38.84,14.91,23.93,False
TXN-010B78FD3DAB41E6A312A7570C04269B,2015-01-19,2015,Q1,1,January,CUST-0B137CF23AB14107824FB6965DBD417B,City Centre,General,Membership,Annual Premium Membership,Premium Annual,Telephone,Digital Wallet,New Year Campaign,1,677.81,0.15,677.81,101.67,576.14,181.41,394.73,False
TXN-283747FD166D41459806697B3FB4FE70,2015-01-19,2015,Q1,1,January,CUST-51790A63B2BA42E8887CEB91DBD83DBF,Riverside,Family,Membership,Annual Basic Membership,Basic Annual,Front Desk,Card,Referral Programme,1,456.39,0.08,456.39,36.51,419.88,107.13,312.75,False
TXN-FE6EFFCDB5844E21A0DE9E7DA8BEDC54,2015-01-19,2015,Q1,1,January,CUST-48635197B8104E5FB508970AE9F7182A,City Centre,Student,Membership,Student Membership,Student Monthly,Corporate Partner,Bank Transfer,New Year Campaign,1,32.54,0.1,32.54,3.25,29.29,11.24,18.05,True
TXN-018288A2D1F14C85919ECA4963782DA2,2015-01-20,2015,Q1,1,January,CUST-174D471C7B614154A33A09DE7860494A,City Centre,Student,Membership,Monthly Basic Membership,Basic Monthly,Mobile App,Direct Debit,No Campaign,1,45.67,0.0,45.67,0.0,45.67,14.59,31.08,False
TXN-531C32D9F9784EC69854076F948EC843,2015-01-20,2015,Q1,1,January,CUST-73695CCBEE234C4D81AD5C4FD01D9732,City Centre,Corporate,Membership,Corporate Membership,Corporate Annual,Corporate Partner,Bank Transfer,New Year Campaign,1,493.8,0.15,493.8,74.07,419.73,126.77,292.96,True
TXN-D85FD099081643B0BCDE1628BABDB2C5,2015-01-20,2015,Q1,1,January,CUST-8F789A09C5314331985537FE4B29B1EE,Riverside,Family,Personal Training,10-Session Personal Training Package,Not Applicable,Website,Direct Debit,Referral Programme,1,362.57,0.05,362.57,18.13,344.44,137.92,206.52,False
TXN-2AD9E70659CD462C8FE5E07D5EE0DB29,2015-01-21,2015,Q1,1,January,CUST-029A705DA39D4E10B908E773EDF4A887,Northside,Family,Personal Training,10-Session Personal Training Package,Not Applicable,Front Desk,Card,No Campaign,1,352.18,0.05,352.18,17.61,334.57,135.85,198.72,False
TXN-607633BC976043CEB61302A4DA6EA2B5,2015-01-21,2015,Q1,1,January,CUST-79330534E25146D8A5704871983626C0,Northside,General,Personal Training,Single Personal Training Session,Not Applicable,Telephone,Cash,New Year Campaign,1,40.72,0.2,40.72,8.14,32.58,21.02,11.56,False
TXN-1408D4310A324043B7CC27015D0B060E,2015-01-22,2015,Q1,1,January,CUST-BA9DD5BB469E49D1AC61FCFDC58FB30A,Northside,Student,Membership,Student Membership,Student Monthly,Front Desk,Direct Debit,New Year Campaign,1,31.17,0.15,31.17,4.68,26.49,10.32,16.17,True
TXN-928ABFEB56144AA384E94B0575C9AAFA,2015-01-22,2015,Q1,1,January,CUST-6FCC35B07DD14215895B487EE772A577,Riverside,Student,Membership,Monthly Basic Membership,Basic Monthly,Website,Cash,New Year Campaign,1,45.3,0.2,45.3,9.06,36.24,14.43,21.81,False
TXN-974755A8769F42DDB1BFF81B7734D574,2015-01-23,2015,Q1,1,January,CUST-C521FAA16C7D485ABF8F8FF51F084866,City Centre,Young Professional,Personal Training,Single Personal Training Session,Not Applicable,Front Desk,Direct Debit,New Year Campaign,1,43.32,0.15,43.32,6.5,36.82,22.88,13.94,False
TXN-5ADDC906C53545FE83069A28964A2EFD,2015-01-24,2015,Q1,1,January,CUST-0482CC9E66744E23B1702C7CF965EE50,City Centre,Senior,Merchandise,Gym Bag,Not Applicable,Front Desk,Card,No Campaign,2,29.12,0.0,58.24,0.0,58.24,37.49,20.75,False
TXN-93C6ACDB1FD5435DB483EE0E59745DF8,2015-01-24,2015,Q1,1,January,CUST-F4D41EC48AA9431CA645B018FD624E3F,City Centre,Young Professional,Membership,Annual Basic Membership,Basic Annual,Website,Digital Wallet,New Year Campaign,1,461.59,0.1,461.59,46.16,415.43,108.2,307.23,False
TXN-9D403DC952DE45CF889A86D5C02277AA,2015-01-25,2015,Q1,1,January,CUST-246374EE38654B2C8C41AF76BD29759A,Riverside,Corporate,Membership,Monthly Basic Membership,Basic Monthly,Front Desk,Direct Debit,No Campaign,1,44.47,0.0,44.47,0.0,44.47,14.41,30.06,True
TXN-E5B8DBDB605B413AA54B1287E49807E8,2015-01-25,2015,Q1,1,January,CUST-AC49ED53C5194A84BF6C217EF0DE45AA,City Centre,Young Professional,Membership,Monthly Premium Membership,Premium Monthly,Front Desk,Direct Debit,New Year Campaign,1,68.17,0.2,68.17,13.63,54.54,23.26,31.28,False
TXN-FFBC1223EDEA42E7B0DEC1E5484D7993,2015-01-26,2015,Q1,1,January,CUST-5EA1ABC508174AED89EFCC75BBD63040,City Centre,Family,Group Class,Yoga Class,Not Applicable,Front Desk,Card,New Year Campaign,1,12.57,0.15,12.57,1.89,10.68,9.03,1.65,False
TXN-0A2AAFDE5D3C468DB4BEA51EC1860F54,2015-01-27,2015,Q1,1,January,CUST-5F582F546F484747A8CF8F6B9A12231E,City Centre,General,Membership,Student Membership,Student Monthly,Telephone,Digital Wallet,New Year Campaign,1,32.41,0.15,32.41,4.86,27.55,11.23,16.32,True
TXN-F03659039C36498EA506AED21AA553A3,2015-01-27,2015,Q1,1,January,CUST-9B21C9FAEA69498E9CD3CC24A72C1D4A,Riverside,Student,Personal Training,10-Session Personal Training Package,Not Applicable,Website,Card,New Year Campaign,1,358.71,0.15,358.71,53.81,304.9,144.12,160.78,False
TXN-FC6229F9D8594F52828956BEE204C24A,2015-01-27,2015,Q1,1,January,CUST-2C5B336D4D26451492D3886BFD70AFA8,City Centre,General,Membership,Monthly Premium Membership,Premium Monthly,Front Desk,Card,New Year Campaign,1,68.16,0.2,68.16,13.63,54.53,23.14,31.39,True
TXN-3E41B7857A74468C9429B7F58BCE1F50,2015-01-28,2015,Q1,1,January,CUST-2794AF499AFB4077A40EA1FA4D63732E,Northside,Senior,Merchandise,Gym T-Shirt,Not Applicable,Front Desk,Card,New Year Campaign,1,21.23,0.15,21.23,3.18,18.05,15.53,2.52,False
